upc,date_adj,haspromo,units_adj
6906500085,20210322,0,1
81083302272,20210322,0,1
3060320240,20210322,0,1
68765217229,20210322,0,1
84654805999,20210322,0,1
64499613990,20210322,0,2
4218702647,20210322,0,1
3331422222,20210322,0,1
8992453249,20210322,0,1
7410003712870,20210322,0,1
87409700023,20210322,0,1
2700061216,20210322,0,1
81829001698,20210322,0,83
7618300310,20210322,0,17
3114235900,20210322,0,114
1920095871,20210322,0,38
81410001301,20210322,0,1
4850020183,20210322,0,62
1820005989,20210322,0,7
3663201944,20210322,0,5
4100000271,20210322,0,16
7680853360,20210322,1,26
4100000890,20210322,0,6
7630172216,20210322,0,8
7323000033,20210322,0,5
3800040340,20210322,1,103
7756728323,20210322,0,10
3700077131,20210322,0,16
3889749111,20210322,0,34
3680041554,20210322,0,2
3746608323,20210322,0,15
60265217011,20210322,1,24
1480058205,20210322,0,25
64044530001,20210322,0,1
20285000000,20210322,0,10
3732312724,20210322,0,1
8281591558,20210322,0,1
4100073148,20210322,1,18
1450001352,20210322,0,20
1111587132,20210322,1,275
64857000490,20210322,0,4
4650076953,20210322,0,10
7065000404,20210322,0,6
7169140528,20210322,0,3
1115314850,20210322,0,9
60265217058,20210322,0,7
3800078704,20210322,0,11
5201010103056,20210322,0,3
81369502104,20210322,0,2
8949796347,20210322,0,1
61864531525,20210322,0,1
2756806022,20210322,0,2
70942181178,20210322,0,2
7128100760,20210322,0,1
8017137000058,20210322,0,3
1115330124,20210322,0,7
3000031597,20210322,0,11
7790100404,20210322,0,3
7127910808,20210322,0,39
27082900000,20210322,0,195
20748700000,20210322,0,35
4190007919,20210322,0,19
7910052040,20210322,0,5
21483900000,20210322,0,4
26585100000,20210322,0,4
5150000087,20210322,0,8
7231000098,20210322,1,7
689,20210322,0,17
20108500000,20210322,0,35
62,20210322,0,65
81029100230,20210322,0,9
4116701056,20210322,0,3
28681700000,20210322,0,2
1428631001,20210322,0,1
3620001498,20210322,0,7
7172008503,20210322,0,1
1380014333,20210322,0,2
4450020181,20210322,0,7
7236839361,20210322,0,2
1500000639,20210322,0,5
1115306112,20210322,0,11
